loan_id,origination_month,vintage_year,vintage_quarter,credit_score,credit_score_band,ltv,ltv_band,dti,dti_band,original_balance,original_term_months,state,loan_purpose,property_type,occupancy_type,servicer_name,source_system,document_status,interest_rate
JBT3NSHATUMX,2022-06-01,2022,2022Q2,700,660-699,71.0,60-75%,42.26,36-43%,283000.0,360,VA,Home Purchase,Single-Family Detached,Primary Residence,Beacon Home Loans,VendorAPI,Complete,5.932
JQANJ2FCKZZE,2020-11-01,2020,2020Q4,690,660-699,62.52,60-75%,23.75,<30%,363000.0,360,GA,Cash-Out Refinance,Single-Family Detached,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,3.548
7HXBY5FMUVCR,2020-07-01,2020,2020Q3,614,<620,87.96,80-90%,34.56,30-36%,323000.0,360,AZ,Home Purchase,Single-Family Detached,Investment Property,Atlas Mortgage Services,CoreServicing,Complete,4.479
D7TJ98K0OQCR,2023-04-01,2023,2023Q2,715,700-739,74.8,60-75%,34.55,30-36%,428000.0,360,MI,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,7.099
CD3YKM5978PE,2020-08-01,2020,2020Q3,722,700-739,74.37,60-75%,17.13,<30%,302000.0,360,CA,Home Purchase,PUD,Second Home,Meridian Residential Capital,LegacySFTP,Complete,3.551
XC6R33NJDFA9,2019-05-01,2019,2019Q2,684,660-699,80.13,80-90%,48.57,>43%,303000.0,360,GA,Rate/Term Refinance,Single-Family Detached,Investment Property,Atlas Mortgage Services,VendorAPI,Complete,4.444
LB8QRNW4HXLZ,2021-02-01,2021,2021Q1,784,740-799,55.25,<60%,26.38,<30%,412000.0,360,FL,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,3.425
BVLUKN4QPP1W,2022-11-01,2022,2022Q4,622,620-659,94.48,90-97%,49.42,>43%,275000.0,360,TN,Home Purchase,Single-Family Detached,Investment Property,Atlas Mortgage Services,CoreServicing,Complete,6.294
F7OJLZ6NRF1E,2018-05-01,2018,2018Q2,717,700-739,74.83,60-75%,44.43,>43%,242000.0,360,VA,Cash-Out Refinance,PUD,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,5.122
BHTIHPA704WJ,2019-09-01,2019,2019Q3,760,740-799,79.77,75-80%,35.85,30-36%,387000.0,240,MI,Rate/Term Refinance,Single-Family Detached,Primary Residence,Atlas Mortgage Services,LegacySFTP,Complete,4.142
UWECNZ49T7D7,2021-06-01,2021,2021Q2,682,660-699,83.25,80-90%,43.51,>43%,238000.0,180,GA,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,3.504
NNMP02KMXLBK,2019-06-01,2019,2019Q2,690,660-699,72.66,60-75%,44.18,>43%,535000.0,360,FL,Rate/Term Refinance,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,VendorAPI,Pending,4.359
Y1NMD9TRSW6A,2022-07-01,2022,2022Q3,783,740-799,60.8,60-75%,27.57,<30%,176000.0,360,VA,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,VendorAPI,Complete,5.562
2YFGVVHY9JCD,2018-05-01,2018,2018Q2,717,700-739,77.67,75-80%,31.47,30-36%,298000.0,360,IN,Rate/Term Refinance,Single-Family Detached,Primary Residence,Beacon Home Loans,CoreServicing,Complete,4.846
T1R0SLZX6RNN,2019-07-01,2019,2019Q3,793,740-799,70.24,60-75%,33.34,30-36%,574000.0,360,NY,Home Purchase,Single-Family Detached,Investment Property,Beacon Home Loans,CoreServicing,Complete,3.936
R1YMLZOOFHRO,2021-07-01,2021,2021Q3,787,740-799,63.05,60-75%,28.71,<30%,646000.0,360,NY,Home Purchase,PUD,Primary Residence,Atlas Mortgage Services,LegacySFTP,Complete,3.11
UFJUZ40W81XE,2023-02-01,2023,2023Q1,637,620-659,78.99,75-80%,29.84,<30%,320000.0,360,LA,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,VendorAPI,Complete,7.942
5NMNQ2ZT6ZJH,2020-02-01,2020,2020Q1,737,700-739,75.31,75-80%,31.72,30-36%,480000.0,240,MO,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,3.26
V43BN8L9S1WX,2019-08-01,2019,2019Q3,695,660-699,82.1,80-90%,29.03,<30%,430000.0,360,CA,Rate/Term Refinance,Single-Family Detached,Primary Residence,Beacon Home Loans,CoreServicing,Complete,4.589
VBP290XGRJ2X,2023-07-01,2023,2023Q3,710,700-739,80.2,80-90%,23.49,<30%,279000.0,360,FL,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,6.776
LLDFELBEPYT7,2021-01-01,2021,2021Q1,734,700-739,56.97,<60%,31.26,30-36%,387000.0,240,WI,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,3.055
XK674580Q4W1,2019-03-01,2019,2019Q1,642,620-659,92.3,90-97%,33.22,30-36%,246000.0,180,TN,Cash-Out Refinance,Single-Family Detached,Primary Residence,Northgate Financial Servicing,VendorAPI,Complete,5.165
ZLGFVVI0EDTD,2023-03-01,2023,2023Q1,617,<620,83.44,80-90%,39.03,36-43%,194000.0,240,TX,Home Purchase,Condominium,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,8.379
DOMWG9T7MK8W,2018-03-01,2018,2018Q1,625,620-659,86.21,80-90%,27.83,<30%,392000.0,180,OH,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,CoreServicing,Pending,5.717
56RZNPA37VS9,2022-06-01,2022,2022Q2,648,620-659,74.45,60-75%,44.66,>43%,400000.0,180,TX,Home Purchase,Condominium,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,6.496
53D0FHJCAVQI,2023-06-01,2023,2023Q2,764,740-799,78.91,75-80%,31.23,30-36%,221000.0,360,MI,Home Purchase,Condominium,Investment Property,Atlas Mortgage Services,VendorAPI,Complete,7.142
EFFTY27WFFT7,2021-06-01,2021,2021Q2,579,<620,89.02,80-90%,53.14,>43%,314000.0,240,CA,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,4.7
UUAW3PCK726Y,2023-06-01,2023,2023Q2,761,740-799,73.52,60-75%,23.76,<30%,220000.0,360,FL,Home Purchase,PUD,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,7.126
S11G7RFQLQ0B,2021-09-01,2021,2021Q3,674,660-699,93.68,90-97%,29.58,<30%,282000.0,360,CA,Cash-Out Refinance,Single-Family Detached,Second Home,Atlas Mortgage Services,CoreServicing,Complete,3.331
4IKG7F0VVAWC,2021-08-01,2021,2021Q3,643,620-659,88.23,80-90%,37.83,36-43%,284000.0,360,AL,Rate/Term Refinance,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,4.322
DR1XILB465ZE,2018-08-01,2018,2018Q3,641,620-659,93.12,90-97%,44.6,>43%,425000.0,360,TX,Rate/Term Refinance,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,5.705
GT0KV1O9XK05,2019-01-01,2019,2019Q1,681,660-699,66.45,60-75%,50.03,>43%,278000.0,360,GA,Cash-Out Refinance,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,5.017
8QRV8IYDEF1B,2022-03-01,2022,2022Q1,699,660-699,87.29,80-90%,43.44,>43%,215000.0,360,TX,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,5.939
309HUM0KP91U,2022-02-01,2022,2022Q1,674,660-699,72.7,60-75%,47.24,>43%,591000.0,360,CA,Home Purchase,PUD,Investment Property,Atlas Mortgage Services,CoreServicing,Complete,5.815
EZAU85TZ2QQ7,2021-09-01,2021,2021Q3,773,740-799,51.72,<60%,32.99,30-36%,390000.0,360,CA,Rate/Term Refinance,PUD,Investment Property,Atlas Mortgage Services,CoreServicing,Complete,3.302
CNY3DOG8HAPP,2019-04-01,2019,2019Q2,694,660-699,66.28,60-75%,37.33,36-43%,448000.0,360,CA,Home Purchase,Single-Family Detached,Second Home,Northgate Financial Servicing,CoreServicing,Complete,4.722
X6WRI6WPREXI,2018-07-01,2018,2018Q3,632,620-659,76.82,75-80%,34.76,30-36%,406000.0,180,GA,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,5.29
I1EV13ENGLQ2,2018-07-01,2018,2018Q3,675,660-699,76.52,75-80%,30.56,30-36%,454000.0,180,GA,Home Purchase,Condominium,Second Home,Northgate Financial Servicing,CoreServicing,Complete,5.155
TY5HF9JOYO6L,2018-09-01,2018,2018Q3,778,740-799,72.27,60-75%,43.29,>43%,383000.0,180,FL,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,VendorAPI,Complete,4.555
1Q93H818XQPE,2019-04-01,2019,2019Q2,692,660-699,70.77,60-75%,48.04,>43%,387000.0,360,LA,Home Purchase,Condominium,Primary Residence,Meridian Residential Capital,VendorAPI,Complete,4.477
FPPQK9415PQ9,2023-10-01,2023,2023Q4,671,660-699,75.93,75-80%,42.85,36-43%,345000.0,240,IL,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,7.482
EXYSVCHHP1RX,2022-09-01,2022,2022Q3,638,620-659,86.65,80-90%,44.94,>43%,284000.0,360,MO,Rate/Term Refinance,PUD,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,6.233
U7MN8QPVLTHA,2019-01-01,2019,2019Q1,763,740-799,77.15,75-80%,41.29,36-43%,446000.0,360,OH,Rate/Term Refinance,Single-Family Detached,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,4.264
XJMDY397R6JK,2019-11-01,2019,2019Q4,694,660-699,67.75,60-75%,49.8,>43%,302000.0,360,FL,Cash-Out Refinance,Single-Family Detached,Primary Residence,Atlas Mortgage Services,LegacySFTP,Complete,4.425
FJSWUQR05FM8,2023-05-01,2023,2023Q2,624,620-659,69.08,60-75%,44.03,>43%,343000.0,360,TX,Cash-Out Refinance,Single-Family Detached,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,7.755
QN1T3GRXWVV2,2020-09-01,2020,2020Q3,781,740-799,69.33,60-75%,37.34,36-43%,374000.0,360,TX,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,LegacySFTP,Complete,2.991
PBIE3HL73JHB,2019-08-01,2019,2019Q3,600,<620,79.41,75-80%,29.51,<30%,385000.0,360,WA,Rate/Term Refinance,PUD,Investment Property,Northgate Financial Servicing,CoreServicing,Complete,5.604
I0YKQ6BGX46S,2019-12-01,2019,2019Q4,739,700-739,57.67,<60%,23.06,<30%,234000.0,240,MA,Rate/Term Refinance,Single-Family Detached,Investment Property,Meridian Residential Capital,CoreServicing,Complete,4.058
AHIKK3DM0S5D,2020-05-01,2020,2020Q2,726,700-739,82.02,80-90%,33.93,30-36%,353000.0,180,TX,Home Purchase,Single-Family Detached,Investment Property,Northgate Financial Servicing,CoreServicing,Complete,3.522
4PBRUPM40OZ7,2021-04-01,2021,2021Q2,728,700-739,77.15,75-80%,32.88,30-36%,233000.0,360,CT,Home Purchase,Condominium,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,3.499
BH5YKBUDSI25,2021-04-01,2021,2021Q2,645,620-659,84.76,80-90%,44.53,>43%,351000.0,360,AL,Rate/Term Refinance,PUD,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,3.938
8D0KNRP0SQOS,2021-03-01,2021,2021Q1,744,740-799,73.7,60-75%,24.94,<30%,430000.0,240,FL,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,VendorAPI,Complete,3.36
7LDV8ZS0MMVZ,2021-10-01,2021,2021Q4,734,700-739,71.82,60-75%,30.13,30-36%,609000.0,240,FL,Home Purchase,Condominium,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,3.249
VW1R55W9RDAM,2019-10-01,2019,2019Q4,685,660-699,70.11,60-75%,42.59,36-43%,402000.0,240,OK,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,VendorAPI,Complete,4.778
NBGFKQX9WO1L,2020-12-01,2020,2020Q4,629,620-659,72.45,60-75%,37.84,36-43%,443000.0,360,UT,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,VendorAPI,Complete,4.298
8LVQATMFA2RP,2022-12-01,2022,2022Q4,780,740-799,77.06,75-80%,20.11,<30%,228000.0,240,PA,Home Purchase,Single-Family Detached,Investment Property,Atlas Mortgage Services,CoreServicing,Complete,5.355
Q6EFEXZ7QTFP,2020-02-01,2020,2020Q1,767,740-799,80.84,80-90%,24.2,<30%,396000.0,240,MD,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,3.239
GQ6ZUVAJ9Q43,2023-11-01,2023,2023Q4,574,<620,85.47,80-90%,51.61,>43%,226000.0,360,AL,Home Purchase,Condominium,Primary Residence,Cornerstone Loan Servicing,VendorAPI,Complete,8.491
GOVGCZ62GI58,2020-12-01,2020,2020Q4,779,740-799,60.05,60-75%,41.78,36-43%,497000.0,180,MN,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,3.06
97X5BDHBV6SW,2020-04-01,2020,2020Q2,589,<620,81.59,80-90%,40.62,36-43%,230000.0,360,VA,Cash-Out Refinance,Condominium,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,4.5
A0SY7MYG0AGK,2022-03-01,2022,2022Q1,757,740-799,81.27,80-90%,39.65,36-43%,237000.0,360,PA,Cash-Out Refinance,Single-Family Detached,Second Home,Cornerstone Loan Servicing,CoreServicing,Pending,5.366
9JGP8V3W522A,2020-05-01,2020,2020Q2,632,620-659,88.42,80-90%,44.95,>43%,427000.0,360,OH,Home Purchase,Single-Family Detached,Primary Residence,Beacon Home Loans,LegacySFTP,Complete,4.021
Z409W25J8R7D,2020-05-01,2020,2020Q2,616,<620,64.03,60-75%,47.14,>43%,584000.0,180,AZ,Cash-Out Refinance,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,LegacySFTP,Complete,4.255
E0XUVHYIHMLA,2020-03-01,2020,2020Q1,691,660-699,64.3,60-75%,34.03,30-36%,473000.0,360,FL,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Pending,4.109
9Q80URVR638R,2021-04-01,2021,2021Q2,718,700-739,72.56,60-75%,23.84,<30%,293000.0,360,AZ,Home Purchase,Condominium,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,3.213
9G2X1DD327WP,2018-04-01,2018,2018Q2,793,740-799,75.4,75-80%,27.79,<30%,236000.0,360,GA,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,4.903
CSL0QH3WKH6L,2020-04-01,2020,2020Q2,685,660-699,79.42,75-80%,29.41,<30%,285000.0,360,NC,Home Purchase,Single-Family Detached,Primary Residence,Beacon Home Loans,CoreServicing,Complete,3.826
5C13MYOZ2DNL,2022-08-01,2022,2022Q3,716,700-739,61.64,60-75%,33.17,30-36%,344000.0,360,MD,Home Purchase,PUD,Primary Residence,Northgate Financial Servicing,VendorAPI,Pending,5.534
XXTE4C27CSZP,2019-12-01,2019,2019Q4,642,620-659,70.22,60-75%,50.04,>43%,321000.0,360,KY,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,5.148
2ARUQ46URLAX,2021-03-01,2021,2021Q1,703,700-739,76.5,75-80%,22.07,<30%,233000.0,360,FL,Rate/Term Refinance,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,3.146
DYQ66Q8A4JY5,2019-10-01,2019,2019Q4,670,660-699,81.66,80-90%,39.82,36-43%,511000.0,360,TN,Home Purchase,PUD,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,4.918
C5G3M70WM1OG,2023-08-01,2023,2023Q3,592,<620,86.28,80-90%,46.18,>43%,515000.0,360,MI,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,8.332
CTQ7KPTPHQ9K,2019-05-01,2019,2019Q2,764,740-799,63.34,60-75%,16.89,<30%,626000.0,360,FL,Cash-Out Refinance,PUD,Investment Property,Cornerstone Loan Servicing,CoreServicing,Complete,3.933
MRYY3IM17UYQ,2022-08-01,2022,2022Q3,650,620-659,69.64,60-75%,43.64,>43%,188000.0,360,VA,Cash-Out Refinance,Condominium,Primary Residence,Northgate Financial Servicing,VendorAPI,Complete,6.617
QZ2LI4J30U9Z,2022-07-01,2022,2022Q3,564,<620,83.05,80-90%,53.14,>43%,251000.0,360,VA,Home Purchase,Single-Family Detached,Investment Property,Cornerstone Loan Servicing,VendorAPI,Complete,6.938
HXFT8C0K44WK,2020-06-01,2020,2020Q2,700,700-739,82.81,80-90%,25.27,<30%,359000.0,360,MD,Home Purchase,Single-Family Detached,Primary Residence,Beacon Home Loans,CoreServicing,Complete,3.708
MZYFHWDYNAF0,2023-11-01,2023,2023Q4,620,<620,94.02,90-97%,43.53,>43%,331000.0,360,PA,Rate/Term Refinance,Single-Family Detached,Primary Residence,Atlas Mortgage Services,VendorAPI,Complete,8.291
DUO0RADFGGVX,2023-12-01,2023,2023Q4,705,700-739,64.52,60-75%,35.33,30-36%,283000.0,360,MO,Rate/Term Refinance,Single-Family Detached,Primary Residence,Atlas Mortgage Services,VendorAPI,Complete,7.546
ABD3EHTZQUNB,2018-03-01,2018,2018Q1,643,620-659,90.27,90-97%,54.65,>43%,247000.0,360,FL,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,5.391
KB4LNF5G1EUB,2021-05-01,2021,2021Q2,724,700-739,67.11,60-75%,17.36,<30%,235000.0,360,IL,Home Purchase,Single-Family Detached,Primary Residence,Beacon Home Loans,CoreServicing,Complete,3.395
6HHUZBDK3L9O,2019-03-01,2019,2019Q1,616,<620,95.14,90-97%,36.08,36-43%,657000.0,180,NJ,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,5.424
L5XNIRQQJLDW,2023-12-01,2023,2023Q4,681,660-699,82.36,80-90%,47.91,>43%,203000.0,180,MI,Home Purchase,PUD,Primary Residence,Beacon Home Loans,CoreServicing,Complete,7.461
QKFP7UPINP8C,2023-10-01,2023,2023Q4,690,660-699,72.22,60-75%,36.82,36-43%,194000.0,240,CA,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,7.701
2ZXJZ7VWXS1L,2020-07-01,2020,2020Q3,669,660-699,72.64,60-75%,40.56,36-43%,220000.0,360,NY,Rate/Term Refinance,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,3.578
O3EN9PNUIP22,2020-01-01,2020,2020Q1,709,700-739,92.47,90-97%,40.19,36-43%,352000.0,360,FL,Rate/Term Refinance,Single-Family Detached,Primary Residence,Beacon Home Loans,LegacySFTP,Complete,3.738
8ZDWAHY7SSB3,2022-11-01,2022,2022Q4,757,740-799,60.24,60-75%,34.62,30-36%,301000.0,360,OK,Rate/Term Refinance,Single-Family Detached,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,5.605
9WPT811LEI81,2020-05-01,2020,2020Q2,664,660-699,81.64,80-90%,43.62,>43%,380000.0,360,OK,Rate/Term Refinance,Single-Family Detached,Second Home,Meridian Residential Capital,VendorAPI,Pending,3.383
WJN2J73ACZ44,2022-05-01,2022,2022Q2,702,700-739,94.99,90-97%,47.58,>43%,260000.0,360,NY,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,5.608
MLMIJL9XGMCP,2021-12-01,2021,2021Q4,759,740-799,76.44,75-80%,44.67,>43%,340000.0,360,IN,Home Purchase,Condominium,Second Home,Cornerstone Loan Servicing,CoreServicing,Complete,3.122
7GOM2OBSJIEK,2019-09-01,2019,2019Q3,628,620-659,92.9,90-97%,35.31,30-36%,340000.0,360,NC,Home Purchase,Condominium,Investment Property,Meridian Residential Capital,CoreServicing,Complete,5.033
387JEKTVZ45P,2020-02-01,2020,2020Q1,672,660-699,82.4,80-90%,46.86,>43%,564000.0,360,PA,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,VendorAPI,Complete,3.541
RNBZ1LZD82KM,2023-08-01,2023,2023Q3,642,620-659,75.53,75-80%,40.28,36-43%,604000.0,360,IN,Rate/Term Refinance,Single-Family Detached,Primary Residence,Atlas Mortgage Services,VendorAPI,Pending,7.789
HU644MOAC2T1,2020-12-01,2020,2020Q4,691,660-699,83.29,80-90%,54.8,>43%,313000.0,180,KY,Home Purchase,PUD,Primary Residence,Atlas Mortgage Services,VendorAPI,Complete,3.496
OJO7TPEXP90T,2020-07-01,2020,2020Q3,721,700-739,66.51,60-75%,24.83,<30%,441000.0,180,NY,Home Purchase,PUD,Primary Residence,Meridian Residential Capital,LegacySFTP,Complete,3.697
33BKC4QNRSWV,2023-05-01,2023,2023Q2,684,660-699,68.02,60-75%,39.56,36-43%,349000.0,360,TX,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,7.154
0ML8MSLULZ0P,2021-06-01,2021,2021Q2,722,700-739,68.78,60-75%,47.57,>43%,429000.0,360,KY,Home Purchase,PUD,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,2.988
DR00R4MBR75V,2021-05-01,2021,2021Q2,663,660-699,77.15,75-80%,42.89,36-43%,376000.0,180,AZ,Home Purchase,Condominium,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,3.447
A5ZASHDF0NQY,2020-04-01,2020,2020Q2,744,740-799,82.24,80-90%,36.89,36-43%,424000.0,360,TX,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,VendorAPI,Complete,3.115
SVDKPJMIWG85,2022-01-01,2022,2022Q1,752,740-799,64.3,60-75%,38.07,36-43%,441000.0,360,CA,Rate/Term Refinance,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,5.353
T1ANWL4NWPSE,2018-04-01,2018,2018Q2,745,740-799,84.24,80-90%,22.56,<30%,381000.0,180,VA,Rate/Term Refinance,Single-Family Detached,Primary Residence,Atlas Mortgage Services,VendorAPI,Complete,4.627
UTGLP3RMVGUB,2019-04-01,2019,2019Q2,655,620-659,86.18,80-90%,21.6,<30%,346000.0,360,NJ,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,LegacySFTP,Complete,5.206
NR2944LAF3KL,2022-12-01,2022,2022Q4,724,700-739,82.1,80-90%,31.09,30-36%,470000.0,360,TX,Home Purchase,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,5.515
8TU8PZOC2Z9Y,2019-07-01,2019,2019Q3,678,660-699,67.3,60-75%,32.91,30-36%,315000.0,360,NJ,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,4.463
J954K64YOPBW,2023-11-01,2023,2023Q4,675,660-699,71.06,60-75%,31.95,30-36%,271000.0,360,TX,Rate/Term Refinance,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,7.594
S8YEE6YIA4PR,2023-05-01,2023,2023Q2,686,660-699,73.62,60-75%,49.31,>43%,195000.0,180,PA,Home Purchase,PUD,Primary Residence,Meridian Residential Capital,CoreServicing,Complete,7.757
UJN2W5P3B3EM,2020-04-01,2020,2020Q2,680,660-699,79.73,75-80%,33.61,30-36%,381000.0,360,FL,Home Purchase,Single-Family Detached,Second Home,Atlas Mortgage Services,CoreServicing,Complete,3.863
LAM7F5UMB2PD,2023-07-01,2023,2023Q3,670,660-699,62.41,60-75%,25.64,<30%,418000.0,360,CO,Home Purchase,Condominium,Primary Residence,Atlas Mortgage Services,LegacySFTP,Complete,7.076
YGNH9WC90A4J,2022-04-01,2022,2022Q2,640,620-659,81.92,80-90%,47.66,>43%,184000.0,360,FL,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,VendorAPI,Complete,6.412
R7Z16W4TOWLY,2022-11-01,2022,2022Q4,611,<620,78.04,75-80%,32.26,30-36%,268000.0,360,FL,Rate/Term Refinance,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,LegacySFTP,Complete,7.184
O80RU4KTKAMM,2020-10-01,2020,2020Q4,687,660-699,85.56,80-90%,34.69,30-36%,426000.0,240,TN,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,LegacySFTP,Complete,3.352
85NMUI6RQW9E,2018-09-01,2018,2018Q3,698,660-699,87.88,80-90%,40.57,36-43%,314000.0,240,CA,Home Purchase,Single-Family Detached,Primary Residence,Beacon Home Loans,VendorAPI,Complete,5.172
UZX5PHV2DO7Z,2021-04-01,2021,2021Q2,662,660-699,79.72,75-80%,33.0,30-36%,336000.0,360,AZ,Rate/Term Refinance,Single-Family Detached,Primary Residence,Beacon Home Loans,CoreServicing,Complete,3.543
A8DK9SLQ0LZR,2022-11-01,2022,2022Q4,721,700-739,77.61,75-80%,25.4,<30%,450000.0,360,CA,Home Purchase,Single-Family Detached,Investment Property,Cornerstone Loan Servicing,CoreServicing,Complete,6.048
HHQYDTFCNZ9P,2018-07-01,2018,2018Q3,709,700-739,73.1,60-75%,39.04,36-43%,318000.0,360,CA,Home Purchase,Condominium,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,4.933
S7NOECSPGR9B,2018-02-01,2018,2018Q1,741,740-799,75.44,75-80%,31.29,30-36%,376000.0,360,OH,Home Purchase,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,VendorAPI,Complete,4.776
3NC0VOUJFQS9,2022-12-01,2022,2022Q4,746,740-799,62.98,60-75%,22.81,<30%,229000.0,360,OR,Rate/Term Refinance,Single-Family Detached,Primary Residence,Atlas Mortgage Services,CoreServicing,Complete,5.678
E8R6K7CIYORK,2021-07-01,2021,2021Q3,541,<620,88.4,80-90%,41.47,36-43%,372000.0,360,TX,Cash-Out Refinance,Single-Family Detached,Investment Property,Meridian Residential Capital,CoreServicing,Complete,4.08
L0PFJBSJFOZ0,2021-02-01,2021,2021Q1,720,700-739,55.62,<60%,28.33,<30%,209000.0,180,FL,Home Purchase,Single-Family Detached,Primary Residence,Northgate Financial Servicing,CoreServicing,Complete,3.401
AOUZNHTPQ643,2022-01-01,2022,2022Q1,723,700-739,63.66,60-75%,36.26,36-43%,212000.0,360,WA,Home Purchase,Single-Family Detached,Primary Residence,Meridian Residential Capital,VendorAPI,Complete,5.533
2M5GSSO4AXIP,2022-02-01,2022,2022Q1,672,660-699,77.12,75-80%,42.04,36-43%,278000.0,360,MN,Rate/Term Refinance,Condominium,Primary Residence,Cornerstone Loan Servicing,VendorAPI,Complete,5.767
TXTEP3YGEZFE,2020-07-01,2020,2020Q3,747,740-799,71.48,60-75%,26.98,<30%,398000.0,360,OH,Cash-Out Refinance,Single-Family Detached,Investment Property,Atlas Mortgage Services,CoreServicing,Complete,3.146
ZVKIXMVHHL6Q,2021-08-01,2021,2021Q3,677,660-699,82.59,80-90%,30.99,30-36%,336000.0,360,OH,Cash-Out Refinance,PUD,Investment Property,Cornerstone Loan Servicing,CoreServicing,Pending,3.558
DNA3YTQH3Y4A,2020-11-01,2020,2020Q4,691,660-699,72.3,60-75%,35.53,30-36%,252000.0,360,FL,Cash-Out Refinance,Single-Family Detached,Primary Residence,Cornerstone Loan Servicing,CoreServicing,Complete,3.779
122GQXM5JATX,2019-03-01,2019,2019Q1,649,620-659,62.98,60-75%,41.56,36-43%,445000.0,360,NY,Rate/Term Refinance,Single-Family Detached,Primary Residence,Atlas Mortgage Services,LegacySFTP,Complete,5.155
